State,City,College,Allocation_Subcategory,Gift_Allocation,Major,Gift_Amount
CO,Denver,College of Agriculture and Natural Resources,Alumni Association,Campus Resource,Nutritional Sciences,6292.5
PA,Philadelphia,College of Social Science,College of Political Science,Scholarship,Interdisciplinary Studies in Social Science,7418
PA,Philadelphia,College of Social Science,University Annual Fund,Endowment,Interdisciplinary Studies in Social Science,1330
IL,Chicago,College of Natural Science,University Annual Fund,Endowment,Environmental Geosciences,2665
IL,Chicago,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Environmental Geosciences,319
CO,Denver,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Chemical Physics,88.5
CO,Denver,College of Natural Science,College of Arts and Sciences,Scholarship,Chemical Physics,5989.5
CO,Denver,College of Education,In-State Scholarship Fund,Scholarship,Athletic Training,3873
CO,Denver,College of Education,College of Social Science,Scholarship,Athletic Training,16992
MO,Kansas City,College of Education,College of Natural Science,Scholarship,Kinesiology,8978
MO,Kansas City,College of Education,Minority Scholarship Fund,Scholarship,Kinesiology,3043
TX,Dallas,College of Social Science,Minority Scholarship Fund,Scholarship,Criminal Justice,4498
TX,Dallas,College of Social Science,Faculty Chair Endowments,Endowment,Criminal Justice,2693
VA,Richmond,College of Natural Science,Alumni Association,Campus Resource,Chemical Physics,2869
VA,Richmond,College of Natural Science,Faculty Chair Endowments,Endowment,Chemical Physics,8484
TN,Memphis,College of Natural Science,Campus Museums,Campus Resource,Physical Science Interdepartmental,700
TN,Memphis,College of Natural Science,College of Education,Scholarship,Physical Science Interdepartmental,251
CT,Hartford,College of Education,University Annual Fund,Endowment,Education,8109
CT,Hartford,College of Education,Trustees Fund,Endowment,Education,9282
CO,Colorado Springs,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Construction Management,9175
CO,Colorado Springs,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Construction Management,4385
VA,Richmond,College of Engineering,Trustees Fund,Endowment,Materials Science and Engineering,7223
VA,Richmond,College of Engineering,University Annual Fund,Endowment,Materials Science and Engineering,126
CA,Los Angeles,College of Agriculture and Natural Resources,Parents Association,Campus Resource,Landscape Architecture,9897
CA,Los Angeles,College of Agriculture and Natural Resources,Diversity Fund,Endowment,Landscape Architecture,10528
CO,Denver,College of Education,College of Agriculture and Natural Resources,Scholarship,Special Education-Learning Disabilities,10894.5
CO,Denver,College of Education,College of Engineering,Scholarship,Special Education-Learning Disabilities,7635
NY,Syracuse,College of Social Science,College of Engineering,Scholarship,Public Policy,2022
NY,Syracuse,College of Social Science,College of Engineering,Scholarship,Public Policy,5400
NE,Omaha,College of Agriculture and Natural Resources,In-State Scholarship Fund,Scholarship,Food Industry Management,189
NE,Omaha,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Food Industry Management,4839
CT,Hartford,College of Social Science,College of Social Science,Scholarship,Sociology,4306
CT,Hartford,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Sociology,8343
NC,Durham,College of Social Science,University Annual Fund,Endowment,Human Development and Family Studies,665
NC,Durham,College of Social Science,College of Social Science,Scholarship,Human Development and Family Studies,3478
MI,Grand Rapids,College of Agriculture and Natural Resources,College of Agriculture and Natural Resources,Scholarship,Environmental Economics and Policy,9396
MI,Grand Rapids,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Environmental Economics and Policy,8940
CA,Los Angeles,College of Agriculture and Natural Resources,College of Agriculture and Natural Resources,Scholarship,Food Science,6830
CA,Los Angeles,College of Agriculture and Natural Resources,In-State Scholarship Fund,Scholarship,Food Science,6682
NY,New York,College of Education,Faculty Chair Endowments,Endowment,Education,2028
NY,New York,College of Education,College of Social Science,Scholarship,Education,4067
KS,Wichita,College of Business,Diversity Fund,Endowment,Finance,1349
KS,Wichita,College of Business,University Annual Fund,Endowment,Finance,5718
AL,Mobile,College of Education,Faculty Chair Endowments,Endowment,Kinesiology,8080
AL,Mobile,College of Education,Faculty Chair Endowments,Endowment,Kinesiology,3273
CA,Fresno,College of Social Science,In-State Scholarship Fund,Scholarship,Economics,7368
CA,Fresno,College of Social Science,College of Arts and Sciences,Scholarship,Economics,347
GA,Savannah,College of Natural Science,In-State Scholarship Fund,Scholarship,Environmental Biology/Zoology,8063
GA,Savannah,College of Natural Science,Faculty Chair Endowments,Endowment,Environmental Biology/Zoology,7549
OR,Portland,College of Social Science,Athletics,Campus Resource,Geography,2634
OR,Portland,College of Social Science,Diversity Fund,Endowment,Geography,8227
CA,San Francisco,College of Education,College of Agriculture and Natural Resources,Scholarship,Kinesiology,4839
CA,San Francisco,College of Education,Diversity Fund,Endowment,Kinesiology,7094
OH,Cincinnati,College of Natural Science,College of Natural Science,Scholarship,Environmental Biology/Plant Biol,4909
OH,Cincinnati,College of Natural Science,College of Business,Scholarship,Environmental Biology/Plant Biol,8459
CA,San Diego,College of Agriculture and Natural Resources,College of Business,Scholarship,Environmental Studies and Agriscience,1724
CA,San Diego,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Environmental Studies and Agriscience,5754
PA,Pittsburgh,College of Education,Faculty Chair Endowments,Endowment,Education,9523
PA,Pittsburgh,College of Education,Trustees Fund,Endowment,Education,662
TX,Houston,College of Natural Science,Diversity Fund,Endowment,Mathematics,7079
TX,Houston,College of Natural Science,Minority Scholarship Fund,Scholarship,Mathematics,3586
CA,San Francisco,College of Social Science,College of Social Science,Scholarship,Geography,1449
CA,San Francisco,College of Social Science,College of Business,Scholarship,Geography,11005
IN,Indianapolis,College of Natural Science,College of Natural Science,Scholarship,Biomedical Laboratory Science,3879
IN,Indianapolis,College of Natural Science,College of Political Science,Scholarship,Biomedical Laboratory Science,115
FL,Tallahassee,College of Natural Science,Trustees Fund,Endowment,Statistics,7081
FL,Tallahassee,College of Natural Science,Parents Association,Campus Resource,Statistics,6558
OH,Cincinnati,College of Natural Science,Honors Program,Campus Resource,Geological Sciences,4573
OH,Cincinnati,College of Natural Science,Campus Recreation,Campus Resource,Geological Sciences,9800
OH,Cincinnati,College of Arts and Sciences,Parents Association,Campus Resource,German,6904
OH,Cincinnati,College of Arts and Sciences,In-State Scholarship Fund,Scholarship,German,9055
WA,Seattle,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Packaging,52
WA,Seattle,College of Agriculture and Natural Resources,Campus Recreation,Campus Resource,Packaging,6067
CA,San Francisco,College of Natural Science,Honors Program,Campus Resource,Environmental Biology/Zoology,7875
CA,San Francisco,College of Natural Science,College of Music,Scholarship,Environmental Biology/Zoology,3929
LA,Baton Rouge,College of Business,University Annual Fund,Endowment,Marketing,7095
LA,Baton Rouge,College of Business,Diversity Fund,Endowment,Marketing,7771
AL,Birmingham,College of Political Science,Trustees Fund,Endowment,College of Political Science,1433
AL,Birmingham,College of Political Science,College of Arts and Sciences,Scholarship,College of Political Science,9242
VA,Richmond,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Food Science,7082
VA,Richmond,College of Agriculture and Natural Resources,Campus Recreation,Campus Resource,Food Science,10727
IL,Naperville,College of Arts and Sciences,College of Natural Science,Scholarship,Experience Architecture,8979
IL,Naperville,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Experience Architecture,632
UT,West Valley City,College of Arts and Sciences,Trustees Fund,Endowment,Interdisciplinary Humanities,3752
UT,West Valley City,College of Arts and Sciences,Athletics,Campus Resource,Interdisciplinary Humanities,5944
SC,Charleston,College of Natural Science,Parents Association,Campus Resource,Biochemistry and Molecular Biology/Biotechnology,5186
SC,Charleston,College of Natural Science,College of Natural Science,Scholarship,Biochemistry and Molecular Biology/Biotechnology,9094
CA,San Francisco,College of Arts and Sciences,College of Natural Science,Scholarship,German,3622
CA,San Francisco,College of Arts and Sciences,Trustees Fund,Endowment,German,2507
CA,Fresno,College of Arts and Sciences,Diversity Fund,Endowment,Art Education,970
CA,Fresno,College of Arts and Sciences,University Annual Fund,Endowment,Art Education,8217
DC,Washington,College of Engineering,Parents Association,Campus Resource,Computer Engineering,6526
DC,Washington,College of Engineering,Diversity Fund,Endowment,Computer Engineering,4047
IL,Springfield,College of Arts and Sciences,College of Social Science,Scholarship,Experience Architecture,2002
IL,Springfield,College of Arts and Sciences,Trustees Fund,Endowment,Experience Architecture,6313
TN,Memphis,College of Business,College of Social Science,Scholarship,Accounting,8280
TN,Memphis,College of Business,Faculty Chair Endowments,Endowment,Accounting,4712
NC,Charlotte,College of Political Science,University Annual Fund,Endowment,College of Political Science,6608
NC,Charlotte,College of Political Science,Campus Recreation,Campus Resource,College of Political Science,6117
CA,Los Angeles,College of Business,College of Social Science,Scholarship,Hospitality Business,3348
CA,Los Angeles,College of Business,College of Arts and Sciences,Scholarship,Hospitality Business,9450
VA,Alexandria,College of Political Science,Parents Association,Campus Resource,Political Theory and Constitutional Democracy,4343
VA,Alexandria,College of Political Science,In-State Scholarship Fund,Scholarship,Political Theory and Constitutional Democracy,7479
NY,New York,College of Business,College of Arts and Sciences,Scholarship,Hospitality Business,3678
NY,New York,College of Business,College of Natural Science,Scholarship,Hospitality Business,7770
WA,Seattle,College of Communication Arts and Sciences,College of Arts and Sciences,Scholarship,Media and Information,5720
WA,Seattle,College of Communication Arts and Sciences,Honors Program,Campus Resource,Media and Information,3605
FL,Tallahassee,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Fisheries and Wildlife,4672
FL,Tallahassee,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Fisheries and Wildlife,10340
NC,Charlotte,College of Natural Science,College of Arts and Sciences,Scholarship,Chemistry,6014
NC,Charlotte,College of Natural Science,Faculty Chair Endowments,Endowment,Chemistry,9451
AZ,Phoenix,College of Arts and Sciences,Minority Scholarship Fund,Scholarship,Art Education,99
AZ,Phoenix,College of Arts and Sciences,Trustees Fund,Endowment,Art Education,5696
MI,Detroit,College of Communication Arts and Sciences,College of Political Science,Scholarship,Journalism,4947
MI,Detroit,College of Communication Arts and Sciences,Diversity Fund,Endowment,Journalism,1949
TX,Dallas,College of Arts and Sciences,University Annual Fund,Endowment,Studio Art,2147
TX,Dallas,College of Arts and Sciences,Campus Museums,Campus Resource,Studio Art,6727
CA,Los Angeles,College of Social Science,In-State Scholarship Fund,Scholarship,Interdisciplinary Studies in Social Science - Social Science Education,6843
